,r=2,r=4,r=16
$\theta_{0}$,8.0,-1.8,-87.1
$\theta_{1}$,-23.4,112.3,10466.1
$\theta_{2}$,7.3,-327.4,-487005.0
$\theta_{3}$,,219.0,12103103.6
$\theta_{4}$,,-1.2,-180067412.9
$\theta_{5}$,,,1723030777.0
$\theta_{6}$,,,-11159264579.3
$\theta_{7}$,,,50782142907.2
$\theta_{8}$,,,-166670522119.7
$\theta_{9}$,,,400990179401.2
$\theta_{10}$,,,-712278442253.3
$\theta_{11}$,,,932198468910.3
$\theta_{12}$,,,-887330785442.5
$\theta_{13}$,,,597242347925.3
$\theta_{14}$,,,-269343089344.4
$\theta_{15}$,,,73003666266.9
$\theta_{16}$,,,-8989291594.0
